time,difference
1,7.18035060846988
2,7.0181029180842245
3,6.8611838872874245
4,6.709593516079437
5,6.563331804460276
6,6.42239875242997
7,6.286794359988484
8,6.156518627135831
9,6.03157155387202
10,5.911953140197028
11,5.797663386110884
12,5.688702291613566
13,5.585069856705083
14,5.48676608138544
15,5.393790965654617
16,5.3061445095126345
17,5.223826712959479
18,5.146837575995164
19,5.075177098619676
20,5.008845280833022
21,4.947842122635201
22,4.892167624026214
23,4.841821785006061
24,4.796804605574742
25,4.757116085732257
26,4.722756225478598
27,4.693725024813773
28,4.670022483737789
29,4.651648602250631
30,4.638603380352315
31,4.630886818042811
32,4.628498915322162
33,4.631439672190346
34,4.639709088647351
35,4.653307164693189
36,4.672233900327868
37,4.69648929555138
38,4.72607335036372
39,4.760986064764893
40,4.801227438754907
41,4.846797472333741
42,4.897696165501422
43,4.95392351825793
44,5.015479530603265
45,5.082364202537434
46,5.154577534060458
47,5.232119525172294
48,5.314990175872957
