frame_idx,width
0,100
1,99
2,98
3,98
4,97
5,95
6,94
7,92
8,91
9,91
10,89
11,89
12,88
13,85
14,86
15,85
16,84
17,84
18,84
19,83
20,82
21,81
22,81
23,80
24,79
25,79
26,78
27,78
28,78
29,77
30,76
31,74
32,74
33,72
34,72
35,71
36,71
37,70
38,69
39,67
40,67
41,66
42,64
43,64
44,63
45,62
46,63
47,63
48,62
49,61
50,61
51,59
52,58
53,57
54,53
55,52
56,54
57,55
58,55
59,54
60,54
61,53
62,53
63,53
64,53
65,52
66,52
67,52
68,51
69,51
70,51
71,50
72,51
73,50
74,50
75,50
76,50
77,49
78,49
79,49
80,49
81,48
82,48
83,48
84,48
85,47
86,47
87,47
88,46
89,46
90,46
91,46
92,46
93,46
94,45
95,45
96,44
97,44
98,44
99,44
100,44
101,43
102,43
103,42
104,42
105,42
106,42
107,41
108,41
109,41
110,40
111,40
112,39
113,39
114,39
115,39
116,39
117,38
118,38
119,38
120,37
121,36
122,36
123,36
124,35
125,35
126,35
127,34
128,34
129,33
130,33
131,33
132,32
133,32
134,32
135,31
136,31
137,31
138,30
