measurement_idx	export_frame	x_pos	y_pos	frame
1	drying_120C_frames:frame0023	109.833335876	375.166656494	1
2	drying_120C_frames:frame0023	110.500000000	351.333343506	1
3	drying_120C_frames:frame0023	110.666664124	352.166656494	2
4	drying_120C_frames:frame0023	110.666664124	352.166656494	3
5	drying_120C_frames:frame0023	110.666664124	352.500000000	4
6	drying_120C_frames:frame0023	110.666664124	352.666656494	5
7	drying_120C_frames:frame0023	110.666664124	352.666656494	6
8	drying_120C_frames:frame0023	110.666664124	352.666656494	7
9	drying_120C_frames:frame0023	110.666664124	353.333343506	8
10	drying_120C_frames:frame0023	110.666664124	353.333343506	9
11	drying_120C_frames:frame0023	110.666664124	354.000000000	10
12	drying_120C_frames:frame0023	110.666664124	354.333343506	11
13	drying_120C_frames:frame0023	110.666664124	354.500000000	12
14	drying_120C_frames:frame0023	110.666664124	354.666656494	13
15	drying_120C_frames:frame0023	110.500000000	354.333343506	14
16	drying_120C_frames:frame0023	110.500000000	353.833343506	15
17	drying_120C_frames:frame0023	110.500000000	354.166656494	16
18	drying_120C_frames:frame0023	110.500000000	354.166656494	17
19	drying_120C_frames:frame0023	110.500000000	354.166656494	18
20	drying_120C_frames:frame0023	110.500000000	354.166656494	19
21	drying_120C_frames:frame0023	110.500000000	354.166656494	20
22	drying_120C_frames:frame0023	110.500000000	354.166656494	21
23	drying_120C_frames:frame0023	110.500000000	354.166656494	22
24	drying_120C_frames:frame0023	110.500000000	354.166656494	23
25	drying_120C_frames:frame0023	110.500000000	354.166656494	24
