frame,x,y
0.000000000000000000e+00,2.810000000000000000e+02,3.820000000000000000e+02
1.000000000000000000e+00,2.810000000000000000e+02,3.770000000000000000e+02
2.000000000000000000e+00,2.810000000000000000e+02,3.740000000000000000e+02
3.000000000000000000e+00,2.810000000000000000e+02,3.730000000000000000e+02
4.000000000000000000e+00,2.800000000000000000e+02,3.720000000000000000e+02
5.000000000000000000e+00,2.780000000000000000e+02,3.690000000000000000e+02
6.000000000000000000e+00,2.760000000000000000e+02,3.670000000000000000e+02
7.000000000000000000e+00,2.720000000000000000e+02,3.660000000000000000e+02
8.000000000000000000e+00,2.680000000000000000e+02,3.660000000000000000e+02
9.000000000000000000e+00,2.620000000000000000e+02,3.640000000000000000e+02
1.000000000000000000e+01,2.570000000000000000e+02,3.620000000000000000e+02
1.100000000000000000e+01,2.520000000000000000e+02,3.600000000000000000e+02
1.200000000000000000e+01,2.450000000000000000e+02,3.570000000000000000e+02
1.300000000000000000e+01,2.380000000000000000e+02,3.570000000000000000e+02
1.400000000000000000e+01,2.310000000000000000e+02,3.570000000000000000e+02
1.500000000000000000e+01,2.190000000000000000e+02,3.560000000000000000e+02
1.600000000000000000e+01,2.090000000000000000e+02,3.540000000000000000e+02
1.700000000000000000e+01,2.010000000000000000e+02,3.510000000000000000e+02
1.800000000000000000e+01,1.930000000000000000e+02,3.500000000000000000e+02
1.900000000000000000e+01,1.810000000000000000e+02,3.450000000000000000e+02
2.000000000000000000e+01,1.710000000000000000e+02,3.350000000000000000e+02
2.100000000000000000e+01,1.550000000000000000e+02,3.320000000000000000e+02
2.200000000000000000e+01,1.460000000000000000e+02,3.220000000000000000e+02
2.300000000000000000e+01,1.370000000000000000e+02,3.100000000000000000e+02
2.400000000000000000e+01,1.250000000000000000e+02,2.990000000000000000e+02
2.500000000000000000e+01,1.110000000000000000e+02,2.860000000000000000e+02
2.600000000000000000e+01,9.600000000000000000e+01,2.720000000000000000e+02
2.700000000000000000e+01,8.500000000000000000e+01,2.540000000000000000e+02
2.800000000000000000e+01,7.600000000000000000e+01,2.430000000000000000e+02
2.900000000000000000e+01,9.700000000000000000e+01,2.210000000000000000e+02
3.000000000000000000e+01,1.050000000000000000e+02,2.070000000000000000e+02
3.100000000000000000e+01,1.050000000000000000e+02,1.940000000000000000e+02
3.200000000000000000e+01,1.110000000000000000e+02,1.870000000000000000e+02
3.300000000000000000e+01,1.130000000000000000e+02,1.810000000000000000e+02
3.400000000000000000e+01,1.130000000000000000e+02,1.790000000000000000e+02
3.500000000000000000e+01,1.170000000000000000e+02,1.780000000000000000e+02
3.600000000000000000e+01,1.190000000000000000e+02,1.760000000000000000e+02
3.700000000000000000e+01,1.200000000000000000e+02,1.750000000000000000e+02
